name,datetiem,text,rate
易老邪,2018-08-16,国内文青拍出来的东西一言以蔽之就是——没头脑与不高兴，外加各种拧巴和死气沉沉。,较差
亵渎电影,2018-08-25,有风格，有表达，所有绝望的事情都赶在一起发生在这几个人身上，粗粝生猛，可惜这么有才华的新导演被资本家逼死了，他用生命的代价让这部电影得以用他想要的面目跟观众见面。我不想看到导演死后，任何人碰过的版本，反而导演朋友圈流出的版本每一帧都是导演的初衷，虽然有点粗糙，反而是原汁原味。新人导演被资本压迫，被前辈强奸，被剥夺创造的自由，其实都是行业潜规则式的常态了，圈内人见怪不怪，为了自己的钱景必然是站队资本，只是遇上了胡波，他用生命捅破了这层窗户纸。,推荐
栗色雪,2018-02-21,影片对北方土地上某种日常生活的非理性、深入脊髓的戾气、只有人情没有法理的荒诞，以及某种黑社会式的人际关系和社会架构，招招中的，处处惊心，绝望而柔软。四个小时的片长，将观众徐徐引入导演敏感而善良的mentality。,推荐
爻,2018-07-31,… 没捧的那么好吧… 看得出来想表达些东西，很像娄烨 又没娄烨细腻，情景感觉有点贾樟柯？镜头贴脸拍，搞得演员不自在…说是不自在表现情感疏离？？？过于没有意义的镜头太多太多吧… …不是镜头长就镜头好了，什么时候起拍长镜头成了拍电影牛逼的代名词，自杀成了才华横溢的代名词,还行
同志亦凡人中文站,2018-07-29,胡波把自己的苦闷、悲伤、绝望和迷惘都放进了这部长达4小时的处女作里面，导演才华毋庸置疑。电影的优缺点很明显：优点是三条故事线在交叉中平稳推进，圆满实现了群像刻画的初衷；缺点是过于追求镜头感，对白和表演有僵尸化的倾向。其实不只满洲里，哪个地方都有席地而坐的的大象。祝天堂安好！,推荐
60KMH,2018-02-25,我可能很赞赏你，但我更赞赏不自杀的你,很差
弗宝路,2018-08-05,我从来不认同“死者为大”，因死亡而歪曲对一部作品的评价，这恰恰是对死者的不尊重。《大象席地而坐》确实不是一部好片子，不厌其烦的怨气、沮丧、失落无法让人看到一丝冷静与思维的温度，一点简单的美好的向往，而是烂透的死寂和消极，没有深度，没有思考力，王小帅对胡波的评价是中肯的。,较差
法兰西胶片,2018-07-21,胡波最后是在努力寻找办法的，从电影来看，他是最健康的。,力荐
朱一一,2018-04-13,我想，导演要是不自杀估计分就不会给那么高了吧,较差
killer CAT,2018-02-06,"描述出了很多中国的dysfunctional family, 人物之间的对话充满passive-aggressive, 跟他的小说感觉高度一致。处女作如此有风格，让我想起了人间失格，牯岭街，大象... 只可惜是以这种方式相遇。另外看之前没想到最近看好的彭昱畅也是主演之一，真是棵好苗子。",推荐
猛小姐,2018-08-24,中二青年还没学会遵守礼貌却觉得世界对他一般、觉得他跟世界不合啊！抱歉我真的挺受不了这种对世界的狭隘的认知，全程尴尬，真想打烂那几个不谙世事的年轻人一脸的傲气和冷漠相。导演没活下来真是可惜。他真的应该活下来，过不了多久再看看就会发现，促使他放弃世界的这股子怨气，是多么的无知、狭隘又卑鄙。,较差
pkye,2018-02-27,王小帅以后当监制该有阴影了,2018-02-27 23:36:21
米粒,2018-04-02,影像与影像的表达，应该是一种手段，而不是目的,还行
Supersonic,2018-04-03,我只想说，抛开死亡崇拜，如果胡波没有死，单纯以电影的角度而不带入其他信息，你们会如何评价这部电影？,还行
舌在足矣,2018-04-02,如此生活三十年，直到大厦崩塌。远算不上完美的作品，无论是粗糙的混音还是略显稚嫩的台词，但调度与运镜实在是太出彩了。这几年不少国内独立制作都喜欢去塑造这种一片死灰、丧到极点的环境，这部片无疑是最成功的,力荐
行所在,2018-08-01,电影首先要好看，这个片子很难看,很差
大瘦瘦,2018-04-06,他目睹两起自杀、心爱之人却早已离去；他为人出头落荒而逃、不承认身份证上的名字是自己；他亲手把死狗扔到臭水沟、目光扫过养老院每一隅；她嫌母亲比副主任更恶心，挥起铁棍打出致命一击。这是一帮狗逼对抗这个丧逼世界中更多狗逼的故事：到不了的满洲里，看不见的大象，这个国家的人怎么都这样邪恶？,推荐
阿城1991,2018-08-15,作品十分青澀，台詞和人物運轉都是在導演推動下完成的，以至於缺少了人物本身的靈魂，彷彿木偶戲一般。將近四小時的片子缺少對於節奏的把控，整個影片為了喪而喪，就差導演從鏡頭裡爬出來指著我鼻子說，嘿你看我是不是很憤怒，是不是很喪啊，你有沒有看出來我想表達的東西啊，我的長鏡頭是不是很牛逼啊。去你大爺吧，這片子除了預告片不錯，別的真心差，差到家了，就算重新剪輯也掩蓋不了內容上的貧乏。,很差
name,datetiem,text,rate
儿 子,2018-03-22,世界狭窄，理解狭隘，才华可观,还行
王大福,2018-03-21,新闻报道比电影本身好看太多了，也就是这戏身后的故事比电影好看，没必要把这片捧上天吧。观影现场也不是什么“四小时没人离场”，来来去去的观众老多了，大门总开开关关的。,2018-03-21 17:22:49
表姐电影,2018-07-21,我觉得这并不是一个很绝望很沮丧的电影，反而充满了希望和力量。非常喜欢电影的结尾，他们去满洲里的大巴车停在荒野之中，四周群山寂寥，没有星星，只有车灯打出一道光。突然，不知道在何处，席地而坐放弃挣扎的大象，发出几声震耳的嘶鸣，这种力量，可以划破黑夜。7.21 FIRST电影节,推荐
不脱袜子同学,2018-02-27,感受到导演对成人世界的厌恶和对前路的悲观。片中的成年人几乎都是负面形象，恶心的母亲，失败的父亲，油腻猥琐的副主任，自私的女儿和懦弱的女婿……是很用心拍摄的作品，但是客观来说很多地方确实可以删减，包括最后1小时都可以做大幅度的减法。真的很惋惜，艺术应该赋予新生命而不是终止。,推荐
二十二岛主,2018-11-13,金马影展第13场。等了近一年终于在大银幕上看到了，就不说我自己对这部影片有多喜欢，说一个小细节，进场时就注意到戴着白帽子的侯孝贤导演坐在我前面两排，四个小时他很安静地坐在那里观看，当胡波的照片在大银幕上出现时，他很用力地鼓起了掌。胡波导演天堂有知，应该会有一丝欣慰吧。,推荐
碗三儿,2018-02-17,"几个很喜欢的地方:1. 每段主人公行走时摄影机跟着主人公背影的长镜头，还有花伦的配乐，彷徨失措之感淋漓尽致。2. 最后一幕车灯照在夜路，踢毽子群象似真似幻。有些像贝拉塔尔，尤其是""大象""这个意象令人不禁想到《鲸鱼马戏团》。有些镜头大量的留白让人闷得喘不上气，但有些镜头确实多余。",还行
二月鸟语,2018-07-21,那头大象为什么坐在那里一动不动，因为它早已放弃了抵抗、放弃了挣扎、放弃了为自由而冲破笼子，它已经接受了发生在自己身上的一切。而片中的人物为何都争着想去看看那头大象，他们是想去看自己么？并不是，他们甚至都不知道那头大象是否真的存在。荒诞的人生并不是因为这个世界的荒诞，而是有了人类。,推荐
何倩彤,2018-03-24,世界沒有那麼邪惡，甚至比破爛垃圾更平庸。死胡同也或者是言過其實了，只有風從漫無目的的空礦刮過來，吹得人頭昏腦脹。,2018-03-24 18:45:16
不语,2018-10-21,"这电影不行。
导演过于自恋：所有的角色其实是同一个人，就是导演自己。不管角色年龄职业经历性格心性，说话办事一个调调。都因他缺乏阅历所致。
他戾气太重：所有的角色在面对任何问题时，全部在发泄情绪，没有一个人是去解决问题的。如果全世界都欠你的，可能因为你是中二吧。
在表现方法上，他表达的东西就那么点儿，浅薄得很，观众一眼就明白了。完全用不着这么冗长，浪费大家时间。
人品不知，作品真不行。违心叫好，才是对艺术和对他的不尊重。
",很差
永隔一江水,2018-08-01,像一个小学生在讲述他对世界的认知。,很差
Muto,2018-08-01,非常遗憾胡波的第一部也是最后一部长片要是能短一些会取得更好的效果。这个用时间努力书写存在感的故事暴露出年轻人普遍迷茫的状态。然而作为时间性存在的人毕竟不是静坐的梦象，倘若他在拍摄这部作品前彻底想通这个关于“我是谁”的问题，即便没有《大象席地而坐》这部最终要靠死磕获得“胜利”的作品也同样是一场胜利。,较差
何小沁,2018-02-19,四个人终究在坐着的大象身上求得了解脱，可惜在比电影更残酷的现实世界里，胡波却没有。影片摒弃了一切主流，工业，取悦的表达，在作者第一部也是唯一一部长片作品里，进行了一次极端，彻底，自我的释放。尽管外表粗糙，戏剧结构、场面调度、演员掌控都颇为出色。//FIRST二刷补充：后期补完后观感提升很多，不再因为技术瑕疵偶尔出戏，没有一分钟多余。一刷看故事，二刷看视听语言，胡波力求每场戏一镜到底，剥离出主体，配角都是失焦的，但画外音画表现空间又很丰富。章宇和彭昱畅太好。其实几个主人公都在问为什么，人怎样看待自己的痛苦处境，到底什么因造就了什么果。坐着的大象真的很有看头吗？出路到底在哪里？可惜胡波也无法作答。结尾黑夜里那束天堂一样的光、基督赞美诗，大概就是无解之解吧。这是一场梦，谢谢你，胡波,力荐
DS,2018-08-02,"1.尽快和这个世界和解，别拧巴，把时间用在增加自己的能力上。否则导演的悲剧永不绝。太多地方和行业都是在凭真功夫生存，别妄想偷奸取巧
2.反面教材电影，论“如何拍砸一部电影——滥用长镜头”
3.可怕的是电影如此贪念不自知。表达的东西？真以为别人是傻瓜看不出来要表达的肤浅的东西？冲着空气骂这个世界多混蛋，这种笑掉大牙的表达？关于混乱，这种非理性已经是病，要看医生、要注意。
这些提醒不是刺耳，而是说的太少，听进去的更少",很差
不良生,2018-08-03,你听过人类这种丑恶的东西吗，所以他们才要编造一个大象的故事；你见过人间这个丑陋的地方吗，所以胡波才要消失变成一只大象；你经历过人生这件丑诞的事情吗，所以孤独的人才都要去满州里看那头动物园的大象。可是火车都开走了，我们发现自己还被留在原地。,力荐
豆瓣浅度用户,2018-02-21,调度棒，表演好，对白赞，导演的镜头感真是没得说。时长还是太长，但瑕不掩瑜，再剪掉一小时就完美了。《小寡妇》发生在承德，《大象》发生在石家庄，包围北京的河北省有一种这么近那么远的陌生感。,推荐
IllusoryPrint,2018-08-07,我没有资格去评论胡波的死，就作品本身而言，这是对贝拉塔儿的拙劣模仿，弄成一股气死沉沉的青春伤痛文学气息，不如再刷一次《鲸鱼马戏团》。,较差
赛珞璐,2018-01-28,17年最喜欢的国产电影，看完用了好几天才缓过来。,力荐
徐若风,2018-09-22,"4.5 如果粗暴地想象，可以把脱胎换骨的彭昱畅看作胡波的“代言人”，去见“看不见的大象”。
彻底寒凉的绝望中不时泛着矫作的愤怒，惊艳绝伦的镜头调度与叙事上的才华被一股子“社会即暴力”般麻木的笃定拖着向前走，没有尽头也不见后路。
但是，哪怕“生”没有意义，寻找意义的路径也不该被封堵、丢弃。活着不是一个关于撑不撑得下去的幻觉，它也不会在哪个时刻或不同的地方就会变得有多不一样——即便是痛苦，也只能被“生”所感受到。哪怕是陷入绝境的人，出路也永远会有的。自由赋予处境意义，而非处境决定人的选择。
不要让自我被这个社会的暴力所埋葬。能活住这样一个念头，便足够了。",力荐
有趣,2018-08-01,值得为电影献身，但不值得为这部电影。,还行
灰不溜秋,2018-02-18,“看看你的周围，不要再假装中产阶级了。”（还是有点太长了）,推荐
name,datetiem,text,rate
战将波舰金,2018-02-21,一条路上走的太远,还行
LEONDADADA,2018-08-09,一星给电影和导演狭隘的人生观，一星给可惜了的生命。再活二十年，也许你会发现生活并不是这样狭窄，也并不是只有黑、白和愤怒。可惜。,较差
刘小黛,2018-07-21,每个人都在求索新的希冀去逃避现实，然而当下的状态依旧无处安放。生活就是一堆垃圾，清理了一块，还有新的垃圾出来。它放大揭露了心底最灰暗的部分，大象嘶鸣，他没有和世界对抗，挣扎中还是向往光明。韦布说“我可能是最后一个看透你是个烂人的人。”也许胡波也是最后一个看透这个糟糕世界的人吧。,力荐
kakakarl,2018-08-02,"可现实中的满洲里没有大象，现实中的人没有办法去满洲里看大象。
生活的困局，去看大象也不能解决。
#高三那年我准备离家出走，我跟所有人说我要去新疆，但是我离家出走会去西南，我要去凯里，那时还没有“凯里布鲁斯”，但是我就是想去凯里。
跟电影里去找大象的人一样。
但是我最终都没有离家出走，到现在也没有去过凯里。",推荐
有寂,2018-08-04,“你以为别人是傻逼看不出来你想要表达的肤浅的东西？,较差
btr,2018-03-26,#HKIFF# 四小时版。冷淡沉默（也掺杂了几个以喊叫表现情感浓度的段落）老年版达内兄弟附身电音慢速『能面』青春公路电影。,较差
烤芬,2018-02-17,“世界是一片荒原。我很感动。”一天时间，四个人物，四个家庭，三条人命，一条狗命。象的席地而坐乍看是消极意志，其实某种意义上也是积极作为。膀胱觉得长但脑子并没有，镜头很长但眼睛并不累，尽管有明显未完成的痕迹，尤其是音效，有些台词也有点不像中文，但总体是相当无痛甚至有些舒服的四小时。,还行
焚紙樓,2018-11-17,2.5星。對生活中的一切都急著想找到解釋，就是還不夠了解生活，即使是偽藏在老者敦敦的對白中也一樣。,较差
Lucius Fabius,2018-07-14,"很漠然而绝望的镜头颜色和镜头语言，依旧是模糊着浪漫主义着反映了现实的一角和胡导的内心问题。
踢毽子，就是结尾，又是一个类似的含混的结局，用浪漫主义的幌子表达自己在虚无幻灭前的无言以对束手就擒。
而他被称颂为过于纯洁的艺术家之死，在我眼中也不过是一个没有长大成人的孩子暴虎冯河而已。",较差
Spring,2018-02-23,3.5星吧。逝者为大。导演的确是挺有才华的，屡屡感觉看到一些大师的影子；但对我来说，一直有点儿难以入戏，优点和不足都是比较显著了。如果是其他导演，我会想说，以后能做的更好。但是对于他，没有“以后”了。,推荐
shoegazerbaby,2018-09-09,接近4个小时令人窒息的真实和沉重，感叹导演年纪轻轻都经历了什么才拍出这样的电影，优秀的演员们，紧凑不安的剧本，素净灰调的摄影，冷处理的分镜节奏，整体完成度都在中上水平，可以说是瑕不掩瑜的长篇处女作，群戏时长确实会比普通男女主角的电影长很多，无奈电影公司水太深，导演的自杀有自身的情绪问题，但更多的应该是对现在整个利益至上的恶俗社会充满了绝望，只能用生命换回作品署名权，除了理解就是可惜，虽然没人真的会了解另一个人的内心，同是抑郁症，无药可救只能学着放过自己，跟周围和解。,力荐
本地有机斐济猫,2018-09-14,让我找回了看早期伊纳里图的那种感觉，另外也没有见过这么偏爱后摇的配乐，后半部的风格很像mono 。不过最让我感动的是这个作品说出了一个实情：青春其实是很绝望的，随便一次失恋，一次考试挫败，一次违纪都会让你觉得走投无路，因为那个时候你觉得世界应该是完美的。,力荐
小楼吹彻钰笙寒,2018-11-18,二倍速看完，感觉时间还是被浪费了。这部电影才是真正的怼天怼地怼出奇迹，竟然能拿奖。说实话，除了部分长镜头设计还行、配乐不错，真看不出哪里好。看了下评高分的热门短评和长评，大多都是说很丧以及表露对死者的敬意。我的豆友给分都是三星及以上，而我只想给两星。最有趣的是有的说丧得假，有的说丧得真实，看来大家对丧都很主观。专说电影吧，凭良心说，这部电影真的好嘛？首先，剪辑让人尴尬，很多转场都非常生硬。有些长镜头没必要，简直就是在拖节奏。以及，狭隘的价值观，把生活中最操 蛋的事情集合到一起，骂一通发泄，到底多丧（我觉得这不是丧，这是戾气）拿不准，台词真是迷之无奈。人物类型化，没有区别，都是同一类人，都是导演的化身。看完后，我将评低分的评论点了赞。分数虚高，希望未来等风头过了，有人能理智地评论这部电影。,较差
三千岁,2018-08-02,230分钟版本，没有开篇字幕、也没有结尾序曲，有的只是几声大象的长嘶。《大象》的天空永远是灰色的鱼肚白、永远伴随着轰隆的背景音。后景永远是虚的，似一道屏障，阻隔了正常的喘息。电影里没有幸福的人，毫无相干的几个人戏剧性的被捆绑在一起，唯一的共同点是都被现实所困，且没有出路。这种朦胧的沉浸感、人物略显深意的对白让电影有了一种底色，桀骜中有无奈、放纵后难释然。一部让我同时想起《牯岭街少年杀人事件》《天注定》《大象》三部的电影，整体大而有型，剧情走的较稳。几处相当精彩的固定长镜头以及自始至终的不规整构图、手持式跟拍等。画面以及配乐营造出焦虑、压抑、紧张的观感，事件的冷处理以及感性的认知与冰冷的现实世界互为关照，但无法相容。斯人已逝，唯生者苟活。席地而坐是跪着的姿态，人人都有向往站起来的权利。,推荐
兰蒂斯,2018-08-02,这么看王小帅批评的完全正确，艺术应该是克制的，而不是作为导演个人宣泄愤世情绪的工具。,较差
zitsunari,2018-10-06,儘管聲音糟糕，部分台詞文藝病，以及片長確實可以大幅刪削，但這些都不足以阻礙它一騎絕塵地將同類藝術電影甩出好遠。何況還有胡波在戲外無意間和角色命運形成的互文。彭昱暢真的應該好好感謝胡波。,推荐
搬砖侠,2018-07-21,FIRST开幕第一场。大象席地而坐，是对生活失去了希望；我们寻找大象，是为了对抗那无尽的绝望和痛苦。作为青年导演的处女作，确实非常有灵气，无论文本还是镜头语言都有惊艳的地方，尤其中间有几处段落堪称神来之笔，结尾尤其出色。缺点可能是确实有些冗长了吧，未来想走院线会很难,推荐
竺.不二.哼哼,2018-08-02,"继凯里之后，满洲里也将成为一票文青的圣地，只是这块圣地满是墓碑，有一块墓碑上这么写着：
这个国家的人为什么这么邪恶呢？为什么年纪轻轻的就这么邪恶。总是你走在大街上就有个人要跳出来砍死你。
大白若辱，大方无隅，大器晚成，大音希声，“大象”无形。",推荐
此A无码,2018-08-12,这类剧本真是万年不变……没啥新东西……中国人的格局什么时候能往世界观，大局观，异次元世界走走，或许会有多一些耳目一新的东西。我不论导演的生死，那些拿导演生死说事的，本身就是对作品的不尊重。因为人死了，所以才说作品好，是对作品的侮辱吧。,还行
有心打扰,2018-04-05,绝望的人生是如此相似，除了那个小女孩，我看不到任何一个快乐的人，每个人都在生活中苟延残喘。,推荐
name,datetiem,text,rate
Siyu Huaaa,2018-11-13,你说胡波拍得好吗 他拍得太好了 而且是渐入佳境的好 是目前为止最值的一场金马也是观众鼓掌最久的一场 但是太折腾人了你知道吗 太折腾人了 这片子里的绝望就跟传染病似的 四个小时 一点儿一点儿把你给泡透了 我入场前无意中撞到李安的激动完全被磨没了 哭也哭不出来 心里堵着又下不去 将近一半的时间我都在看人物移动的后脑勺 头晕眼花 太受虐的一部电影了 结束后胡波的妈妈上台说“谢谢大家来看”  谢谢,推荐
汪金卫,2018-11-14,【台北金马影展展映】展现出的问题远远多于才华。剧作文本性、台词书面感过强，不少演员台词功底不够扎实，结构也显得刻意生硬。几乎每个主要角色都是郁郁寡欢型的同一模板，行为语言如提线木偶般被编剧操控。满洲里和大象的符号，很是莫名其妙。控诉有余，深度不足。没有挖掘社会性问题。从头到尾串联的长镜头时间过于冗长，内容显得空洞，其泛滥使用也让人疑惑其必要性。应该可以剪到2小时左右。章宇的演技明显比彭昱畅高出好几个等级。配乐给影片加分了,还行
文森特九六,2018-08-02,每个角色身上都背负着一股强烈的颓丧和怒气，但当我们试着追溯这些情绪的起源时，却发现一切都是不充分的，是断裂的，甚至是虚假的，是表演的，不相信现实生活中的人们会这样说话，会说这样的话，更不要提角色们的思维方式与做事逻辑了，只能算是一次宝贵却幼稚的偏执表达，剪辑与摄影如此处理是否必要，还是有待商榷。,还行
莫莫先生,2018-08-10,恍惚觉得听了一首长长的民谣，冰冷又温暖。每个人都是一座孤岛。少年啊，姑娘啊，老头啊，你们的生活是一团乱麻啊。,推荐
基瑞尔,2018-07-21,明明只是一天一夜，却融进了太多不可言说的悲伤与困苦--女孩和母亲关系爆发式的失控；老头孑然一身的生活...融合了圣歌的片尾曲和毽子才把人拉出这份泥淖式的情绪。电影之外，会更加思索他所留下的文字；也会一直记得这个在西宁的夏天，听章宇泣不成声说这是胡波“开垦世界的方式”，听编辑追思这个灵魂曾经有过的一生。这是影像力量所带来的余波。,力荐
阿柴呀,2018-08-07,跟学生作业似的 为什么大家都不好意思打低分？,较差
剃刀的锋利,2018-06-27,一部看完有后遗症的电影，缓了好多天，再看别的电影还是索然无味。四个小时一气呵成，天生的导演，天才的控制力。几段长镜头，有逻辑，有情绪，有节奏。别说剪成两小时了，十分钟都他妈不该剪。还是设一个标签吧，但这标签里不会再有第二部电影了。,力荐
无耻不混蛋,2018-08-03,感觉这电影，就是一词：虚无。虚无少年，虚无青年，虚无老年。人生毫无意义，不值一提。懒得再过下去。甚至可以说，这部电影是能描绘我们这个时代，真正的“丧”痛，最精准的也可能是唯一的一部影像作品。,力荐
無邊無際,2018-02-28,“那個大象，他媽的就坐那兒！”作為一個年輕導演處女作長片，導演走得太悲哀，他應該像電影裡最後那一點善一樣與惡和絕望奉陪到底。貝拉塔爾➕電影版《殺死那個石家莊人》。,推荐
sTill-Life,2018-07-22,影像处理非常风格化，特写、小景深、长镜头跟拍，制造出局促、焦躁、步步紧逼的空间感，一呼一吸间感觉到摄影机背后的人与影片共同存在。故事中四位主角的命运在一天之中紧紧纠缠，愤怒、冲撞、惨败，所有的一切汇聚到深夜山谷的一束车灯里，瓦解、消散、重构。几声象鸣把符号化的希望定格在瞬间。影片中的电音配乐在一个个缓慢移动的长镜头里涓涓流淌，撑起影片每一分钟该有的情绪。# FIRST 本命年 开幕影片 - 7.21,力荐
一匹马赛克,2018-08-06,"不喜欢《大裂》，也不喜欢《夜奔》，但喜欢这部《大象席地而坐》。
中国三四线城市绝大数的日常真是全息式投影的悲剧文学。
极强的文本气息和充满灵气的长镜头处理高出同龄导演好几个身位。戾气又荒诞，绝望又温柔。挥手自兹去，萧萧大象鸣。
喜欢作为导演的你，不喜欢为此自杀的你。“值得为电影献身，但不值得为这部”。",还行
黄小米,2018-04-09,生命就是麻烦，彼岸也不过如此。但胡波并不显得虚无或中二，半因表演半因饱满的原创性。结尾让我想到话剧《耶路撒冷》，一样震撼。并且温暖。即使他自己不信，也还是尽可能留下一点光。唯一的bug是彭彭的毽子功，这样都能得奖？,力荐
babydog不Muyan,2018-01-21,"naïf?oui,mais quelle naïveté prodigieuse!|20180220Berlinale影院重看（新音乐减分",推荐
哲賦涵析（手襲,2018-11-20,无病呻吟+群体的皇帝新衣式膜拜促成了这么个评分吧…呵呵 一个意志力不坚定的人死了，让一大帮loser找到了共鸣而已～,很差
Jason_波波,2018-02-23,2018 BERLINALE 第三发！人生首次在影院一动不动看了4小时，还是在第一排。手持单机长镜头，大光圈特写不补光，导演冒着穿帮和画面黑成一片的风险在处女作中“肆意”炫技挑战演员的演技，而这一切都在高度的临场观感上带给了观影者实打实的体验。毫无疑问导演是卓越的，替来到现场的母亲和中国电影惋惜,推荐
文桂兒,2018-03-24,用四个小时讲了一个全是屎世界。当人们什么都不相信的时候，没有事情会是好的，会是有希望的。2.5四舍五入,还行
黑狗成,2018-07-09,阳光消散的日子。,推荐
朱马查,2018-07-23,快到隧道尽头光亮了，硬是停下来坐下来，让我们理论理论。我不跟你走，可我不愿意看你坐这儿。,还行
阿稚,2018-11-17,一部情绪压制了技术瑕疵的遗珠。恭喜大象，恭喜彭昱畅和章宇。导演安息。今晚金马故事多。,推荐
